year,sst_north_atlantic,sst_gulf_stream,sst_gulf_mexico,sst_tropical_north_atl
1918,20.501174926757812,18.790626525878906,25.811866760253906,25.92192840576172
1919,20.64942741394043,19.045469284057617,26.055391311645508,26.072975158691406
1920,20.472997665405273,19.15304946899414,25.808197021484375,25.723520278930664
1921,20.638673782348633,19.51188087463379,26.03224754333496,25.997045516967773
1922,20.440752029418945,19.238542556762695,26.37449073791504,25.787050247192383
1923,20.446290969848633,19.057321548461914,26.025917053222656,25.716299057006836
1924,20.598546981811523,19.064550399780273,25.87994956970215,26.028274536132812
1925,20.58490753173828,19.31816291809082,26.23061180114746,25.806692123413086
1926,20.862913131713867,18.985483169555664,26.078927993774414,26.451431274414062
1927,20.90959930419922,19.412229537963867,26.390533447265625,26.454307556152344
1928,20.7502384185791,19.520898818969727,25.96082878112793,26.016687393188477
1929,20.6653995513916,19.52104377746582,26.001693725585938,25.926305770874023
1930,20.775211334228516,19.706830978393555,25.83831787109375,25.942655563354492
1931,21.020227432250977,19.511693954467773,25.835386276245117,26.447891235351562
1932,21.067920684814453,19.539207458496094,26.297874450683594,26.44831657409668
1933,21.048004150390625,19.722776412963867,26.33325958251953,26.433725357055664
1934,20.8450984954834,19.85865592956543,26.34833526611328,26.005386352539062
1935,20.838607788085938,19.520689010620117,26.377477645874023,26.12859344482422
1936,20.95258140563965,19.5407657623291,26.335290908813477,26.37517738342285
1937,21.16724395751953,19.935617446899414,26.488801956176758,26.65504264831543
1938,20.97529411315918,19.75398826599121,26.11902618408203,26.39796257019043
1939,20.944875717163086,19.73310089111328,26.3321533203125,26.160951614379883
1940,21.27294158935547,19.32782554626465,26.18524169921875,26.83399772644043
1941,21.284456253051758,19.333045959472656,26.5948543548584,26.79289436340332
1942,21.144229888916016,19.678621292114258,26.635515213012695,26.57586669921875
1943,20.94285011291504,19.721385955810547,26.60512351989746,26.284950256347656
1944,21.2547664642334,20.007490158081055,26.676984786987305,26.694732666015625
1945,21.304141998291016,19.915868759155273,26.371553421020508,27.06128692626953
1946,20.80126190185547,19.70827865600586,26.3323917388916,26.191999435424805
1947,20.705078125,19.697616577148438,26.32973289489746,26.067293167114258
1948,20.837923049926758,19.28050422668457,26.37309455871582,26.253768920898438
1949,20.958518981933594,20.055654525756836,26.62273406982422,26.21352195739746
1950,20.808252334594727,19.68560791015625,26.337095260620117,26.270143508911133
1951,21.092378616333008,20.07761573791504,26.271390914916992,26.467233657836914
1952,21.135446548461914,19.867509841918945,26.294281005859375,26.428504943847656
1953,21.11576271057129,19.819704055786133,26.45555305480957,26.520788192749023
1954,20.8933048248291,19.876937866210938,26.411123275756836,26.209999084472656
1955,21.054597854614258,19.488645553588867,26.39451789855957,26.453454971313477
1956,20.835966110229492,19.381427764892578,26.282590866088867,26.276823043823242
1957,20.90595245361328,19.589292526245117,26.695581436157227,26.29881477355957
1958,21.107519149780273,19.558156967163086,26.425878524780273,26.751264572143555
1959,20.92234230041504,19.630746841430664,26.411500930786133,26.321455001831055
1960,21.08675193786621,19.7651424407959,26.39583396911621,26.458847045898438
1961,21.07329750061035,19.69394874572754,26.271432876586914,26.456449508666992
1962,21.012239456176758,19.560665130615234,26.4747371673584,26.599714279174805
1963,20.946687698364258,19.35396385192871,26.29974937438965,26.6806640625
1964,20.805368423461914,19.0150146484375,26.109601974487305,26.27069664001465
1965,20.746994018554688,18.949050903320312,26.21953582763672,26.16588020324707
1966,20.93718910217285,18.88895606994629,26.05323600769043,26.634742736816406
1967,20.81397247314453,19.17198944091797,26.143632888793945,26.191492080688477
1968,20.767955780029297,19.0762939453125,26.055028915405273,26.285812377929688
1969,20.954368591308594,19.117658615112305,26.23218536376953,26.788991928100586
1970,20.860471725463867,19.111175537109375,25.907508850097656,26.6524715423584
1971,20.664533615112305,19.175979614257812,26.133440017700195,26.124452590942383
1972,20.59284210205078,19.304746627807617,26.456024169921875,26.187883377075195
1973,20.82587242126465,19.40928077697754,26.254478454589844,26.44812774658203
1974,20.532785415649414,19.566680908203125,26.182432174682617,25.9722843170166
1975,20.761064529418945,19.58254051208496,26.306556701660156,26.14451026916504
1976,20.696290969848633,19.571983337402344,25.87360382080078,26.044103622436523
1977,20.858430862426758,19.44810676574707,26.23884391784668,26.286155700683594
1978,20.901769638061523,19.37455940246582,26.28171730041504,26.43705177307129
1979,21.001689910888672,19.36326026916504,26.118989944458008,26.720077514648438
1980,21.069597244262695,19.34739875793457,26.37457275390625,26.69297981262207
1981,21.058849334716797,19.25083351135254,26.17902374267578,26.66481590270996
1982,20.83792495727539,19.367996215820312,26.551549911499023,26.356996536254883
1983,21.051660537719727,19.768348693847656,26.284452438354492,26.66219139099121
1984,20.889965057373047,19.625579833984375,25.814598083496094,26.45195960998535
1985,20.78876495361328,19.51824951171875,26.27783203125,26.282079696655273
1986,20.736783981323242,19.573312759399414,26.297391891479492,26.180810928344727
1987,21.1964168548584,19.514543533325195,26.17638397216797,26.913541793823242
1988,21.12238883972168,19.426992416381836,25.929964065551758,26.823463439941406
1989,21.055028915405273,19.820837020874023,26.373580932617188,26.536697387695312
1990,21.084928512573242,19.707117080688477,26.451065063476562,26.7098388671875
1991,20.91628074645996,19.585737228393555,26.413291931152344,26.36127471923828
1992,20.81669807434082,19.29374122619629,25.990896224975586,26.377901077270508
1993,20.85869026184082,19.462400436401367,26.109907150268555,26.48499298095703
1994,20.873598098754883,19.775068283081055,26.35675621032715,26.296340942382812
1995,21.258283615112305,19.49247932434082,26.40308952331543,26.789703369140625
1996,21.04897689819336,19.157236099243164,26.009920120239258,26.74725341796875
1997,21.18215560913086,19.137842178344727,26.349618911743164,26.72071075439453
1998,21.479963302612305,19.712697982788086,26.330476760864258,27.056386947631836
1999,21.29014778137207,20.1009521484375,26.372812271118164,26.644819259643555
2000,21.18111228942871,20.021257400512695,26.4751033782959,26.555892944335938
2001,21.305278778076172,19.658479690551758,26.291818618774414,26.698328018188477
2002,21.230972290039062,19.991758346557617,26.563013076782227,26.73387908935547
2003,21.415498733520508,19.865249633789062,26.461210250854492,26.86707878112793
2004,21.419363021850586,19.641759872436523,26.502059936523438,27.02049446105957
2005,21.57203483581543,19.847639083862305,26.4360294342041,27.247697830200195
2006,21.531564712524414,19.902490615844727,26.51627540588379,26.969804763793945
2007,21.404756546020508,19.640331268310547,26.47371482849121,26.81787872314453
2008,21.464685440063477,19.901945114135742,26.284265518188477,27.020919799804688
2009,21.281574249267578,19.967342376708984,26.507017135620117,26.692787170410156
2010,21.69891357421875,19.81130027770996,26.144594192504883,27.596786499023438
2011,21.410120010375977,19.956451416015625,26.346649169921875,27.055994033813477
2012,21.524606704711914,20.486328125,26.67076301574707,26.819747924804688
2013,21.48388671875,20.276599884033203,26.43895149230957,27.02025604248047
2014,21.39476776123047,20.3812255859375,26.461814880371094,26.674245834350586
2015,21.43044090270996,20.677188873291016,26.846567153930664,26.865869522094727
2016,21.643280029296875,20.806352615356445,27.12165641784668,27.12273406982422
2017,21.709070205688477,20.643415451049805,27.007112503051758,27.228979110717773
2018,21.40718650817871,20.693679809570312,26.943498611450195,26.688932418823242
2019,21.53364372253418,20.367008209228516,26.94025421142578,26.861238479614258
2020,21.727468490600586,20.63389015197754,27.00897979736328,27.24622344970703
2021,21.68193817138672,20.68235969543457,26.6300106048584,27.045991897583008
2022,21.70001220703125,20.74497413635254,26.88960075378418,27.01397132873535
2023,22.091054916381836,20.398900985717773,27.3049373626709,27.6155948638916
2024,22.19145965576172,20.406511306762695,27.18791389465332,27.78895378112793
2025,21.794410705566406,20.31070327758789,27.231077194213867,27.140649795532227
2026,19.679443359375,16.214073181152344,24.54499053955078,26.287460327148438
