station_id,year,tmean_spring,tmean_april,tmean_fall,tmean_october
USC00360134,1893,11.268243243243244,,12.804545454545453,13.378260869565217
USC00360134,1894,13.468965517241381,11.996296296296297,13.976923076923073,14.151612903225805
USC00360134,1895,11.997252747252746,12.5,12.333707865168538,9.517741935483873
USC00360134,1896,11.656043956043959,13.301666666666668,11.962345679012344,10.391935483870967
USC00360134,1897,10.862637362637363,10.863333333333335,13.336516853932586,13.556451612903226
USC00360134,1898,11.867391304347825,9.129999999999999,11.108241758241757,11.125806451612902
USC00360134,1899,9.40108695652174,10.405,11.530219780219777,12.164516129032258
USC00360134,1900,8.208152173913044,9.825,13.15722222222222,14.035483870967745
USC00360134,1901,8.409876543209878,7.309615384615384,9.51123595505618,10.39516129032258
USC00360134,1902,10.210493827160493,9.971739130434782,12.626744186046512,12.925806451612905
USC00360134,1903,11.501630434782607,10.668333333333331,10.304945054945055,11.633870967741936
USC00360134,1904,8.030219780219781,6.5649999999999995,9.976373626373626,9.65322580645161
USC00360134,1905,9.304444444444446,8.785714285714285,9.77183908045977,10.581481481481486
USC00360134,1906,7.803804347826087,9.903333333333334,10.745,9.774193548387096
USC00360134,1907,6.662698412698414,5.869047619047619,8.905555555555555,6.9750000000000005
USC00360134,1909,7.525842696629213,7.856666666666667,9.869186046511627,7.129310344827586
USC00360134,1910,9.540588235294116,10.314285714285713,10.703703703703706,12.0375
USC00360134,1911,8.70470588235294,6.982758620689654,10.590441176470588,9.871666666666666
USC00360134,1913,9.739673913043477,10.043333333333331,11.449444444444445,11.976666666666668
USC00360134,1914,7.744021739130435,7.778333333333332,11.260439560439561,13.103225806451611
USC00360134,1915,7.879891304347827,12.055,14.59672131147541,11.158064516129029
USC00360134,1916,7.878333333333333,8.211666666666666,10.74010989010989,10.850000000000001
USC00360134,1917,7.631521739130435,8.861666666666666,8.696153846153845,7.612903225806451
